date,datetime,tickersymbol,price,close,best-bid,best-ask,spread
2025-11-04,2025-11-04 10:13:00.000000,VN30F1M,1870.9,1870.9,1870.8000000000002,1871.0,0.1999999999998181
2025-11-04,2025-11-04 10:14:00.000000,VN30F1M,1869.2,1869.2,1869.1000000000001,1869.3,0.1999999999998181
2025-11-04,2025-11-04 10:15:00.000000,VN30F1M,1870.0,1870.0,1869.9,1870.1,0.1999999999998181
2025-11-04,2025-11-04 10:16:00.000000,VN30F1M,1868.2,1868.2,1868.1000000000001,1868.3,0.1999999999998181
2025-11-04,2025-11-04 10:17:00.000000,VN30F1M,1867.7,1867.7,1867.6000000000001,1867.8,0.1999999999998181
2025-11-04,2025-11-04 10:18:00.000000,VN30F1M,1866.6,1866.6,1866.5,1866.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:19:00.000000,VN30F1M,1866.5,1866.5,1866.4,1866.6,0.1999999999998181
2025-11-04,2025-11-04 10:20:00.000000,VN30F1M,1867.3,1867.3,1867.2,1867.3999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:21:00.000000,VN30F1M,1867.0,1867.0,1866.9,1867.1,0.1999999999998181
2025-11-04,2025-11-04 10:22:00.000000,VN30F1M,1867.2,1867.2,1867.1000000000001,1867.3,0.1999999999998181
2025-11-04,2025-11-04 10:23:00.000000,VN30F1M,1870.2,1870.2,1870.1000000000001,1870.3,0.1999999999998181
2025-11-04,2025-11-04 10:24:00.000000,VN30F1M,1869.2,1869.2,1869.1000000000001,1869.3,0.1999999999998181
2025-11-04,2025-11-04 10:25:00.000000,VN30F1M,1871.0,1871.0,1870.9,1871.1,0.1999999999998181
2025-11-04,2025-11-04 10:26:00.000000,VN30F1M,1873.0,1873.0,1872.9,1873.1,0.1999999999998181
2025-11-04,2025-11-04 10:27:00.000000,VN30F1M,1872.6,1872.6,1872.5,1872.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:28:00.000000,VN30F1M,1874.1,1874.1,1874.0,1874.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:29:00.000000,VN30F1M,1873.5,1873.5,1873.4,1873.6,0.1999999999998181
2025-11-04,2025-11-04 10:30:00.000000,VN30F1M,1875.8,1875.8,1875.7,1875.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:31:00.000000,VN30F1M,1873.6,1873.6,1873.5,1873.6999999999998,0.1999999999998181
